"Geslacht";"Leerjaren";"Migratieachtergrond";"Woonregio/schoolregio";"Regiokenmerken";"Perioden";"Totalen leerlingen naar onderwijssoort/Totaal leerlingen (aantal)";"Totalen leerlingen naar onderwijssoort/Algemene leerjaren 1-2-3 (aantal)";"Totalen leerlingen naar onderwijssoort/Vwo leerjaar 3-6 (aantal)";"Totalen leerlingen naar onderwijssoort/Havo leerjaar 3-5 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-t leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-g leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-k leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-b leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Praktijkonderwijs (aantal)"
"Mannen";"Totaal leerjaren";"Totaal";"Woonregio";"Nederland";"2016/'17";502254;209258;80318;80119;44315;14445;32272;24314;17213
"Mannen";"Leerjaar 1";"Totaal";"Woonregio";"Nederland";"2016/'17";107236;103793;;;;;;;3443
"Mannen";"Leerjaar 2";"Totaal";"Woonregio";"Nederland";"2016/'17";106714;103229;;;;;;;3485
"Mannen";"Leerjaar 3";"Totaal";"Woonregio";"Nederland";"2016/'17";106616;2236;20912;22110;20491;8605;16280;12526;3456
"Mannen";"Leerjaar 4";"Totaal";"Woonregio";"Nederland";"2016/'17";112443;;20463;31399;23824;5840;15992;11788;3137
"Mannen";"Leerjaar 5";"Totaal";"Woonregio";"Nederland";"2016/'17";49685;;20459;26610;;;;;2616
"Mannen";"Leerjaar 6";"Totaal";"Woonregio";"Nederland";"2016/'17";19560;;18484;;;;;;1076
