"Geslacht";"Leerjaren";"Migratieachtergrond";"Woonregio/schoolregio";"Regiokenmerken";"Perioden";"Totalen leerlingen naar onderwijssoort/Totaal leerlingen (aantal)";"Totalen leerlingen naar onderwijssoort/Algemene leerjaren 1-2-3 (aantal)";"Totalen leerlingen naar onderwijssoort/Vwo leerjaar 3-6 (aantal)";"Totalen leerlingen naar onderwijssoort/Havo leerjaar 3-5 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-t leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-g leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-k leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-b leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Praktijkonderwijs (aantal)"
"Mannen";"Totaal leerjaren";"Totaal";"Woonregio";"Nederland";"2017/'18";496301;203108;81027;81609;44126;14294;32027;22991;17119
"Mannen";"Leerjaar 1";"Totaal";"Woonregio";"Nederland";"2017/'18";103534;100093;;;;;;;3441
"Mannen";"Leerjaar 2";"Totaal";"Woonregio";"Nederland";"2017/'18";104222;100721;;;;;;;3501
"Mannen";"Leerjaar 3";"Totaal";"Woonregio";"Nederland";"2017/'18";106694;2294;21205;22961;20819;8339;16215;11533;3328
"Mannen";"Leerjaar 4";"Totaal";"Woonregio";"Nederland";"2017/'18";111578;;20508;31371;23307;5955;15812;11458;3167
"Mannen";"Leerjaar 5";"Totaal";"Woonregio";"Nederland";"2017/'18";50652;;20843;27277;;;;;2532
"Mannen";"Leerjaar 6";"Totaal";"Woonregio";"Nederland";"2017/'18";19621;;18471;;;;;;1150
