"Geslacht";"Leerjaren";"Migratieachtergrond";"Woonregio/schoolregio";"Regiokenmerken";"Perioden";"Totalen leerlingen naar onderwijssoort/Totaal leerlingen (aantal)";"Totalen leerlingen naar onderwijssoort/Algemene leerjaren 1-2-3 (aantal)";"Totalen leerlingen naar onderwijssoort/Vwo leerjaar 3-6 (aantal)";"Totalen leerlingen naar onderwijssoort/Havo leerjaar 3-5 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-t leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-g leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-k leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-b leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Praktijkonderwijs (aantal)"
"Vrouwen";"Totaal leerjaren";"Totaal";"Woonregio";"Nederland";"2017/'18";488945;196368;92678;85508;41782;14969;28381;16825;12434
"Vrouwen";"Leerjaar 1";"Totaal";"Woonregio";"Nederland";"2017/'18";98481;96008;;;;;;;2473
"Vrouwen";"Leerjaar 2";"Totaal";"Woonregio";"Nederland";"2017/'18";99904;97432;;;;;;;2472
"Vrouwen";"Leerjaar 3";"Totaal";"Woonregio";"Nederland";"2017/'18";102939;2928;24050;23293;19243;8586;14010;8436;2393
"Vrouwen";"Leerjaar 4";"Totaal";"Woonregio";"Nederland";"2017/'18";109625;;23399;32193;22539;6383;14371;8389;2351
"Vrouwen";"Leerjaar 5";"Totaal";"Woonregio";"Nederland";"2017/'18";55822;;23799;30022;;;;;2001
"Vrouwen";"Leerjaar 6";"Totaal";"Woonregio";"Nederland";"2017/'18";22174;;21430;;;;;;744
