"Geslacht";"Leerjaren";"Migratieachtergrond";"Woonregio/schoolregio";"Regiokenmerken";"Perioden";"Totalen leerlingen naar onderwijssoort/Totaal leerlingen (aantal)";"Totalen leerlingen naar onderwijssoort/Algemene leerjaren 1-2-3 (aantal)";"Totalen leerlingen naar onderwijssoort/Vwo leerjaar 3-6 (aantal)";"Totalen leerlingen naar onderwijssoort/Havo leerjaar 3-5 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-t leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-g leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-k leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-b leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Praktijkonderwijs (aantal)"
"Vrouwen";"Totaal leerjaren";"Totaal";"Woonregio";"Nederland";"2016/'17";493218;201237;90755;84103;42708;14929;28823;18099;12564
"Vrouwen";"Leerjaar 1";"Totaal";"Woonregio";"Nederland";"2016/'17";101266;98773;;;;;;;2493
"Vrouwen";"Leerjaar 2";"Totaal";"Woonregio";"Nederland";"2016/'17";102229;99708;;;;;;;2521
"Vrouwen";"Leerjaar 3";"Totaal";"Woonregio";"Nederland";"2016/'17";102933;2756;23543;22716;19188;8672;14330;9183;2545
"Vrouwen";"Leerjaar 4";"Totaal";"Woonregio";"Nederland";"2016/'17";110989;;23251;32093;23520;6257;14493;8916;2459
"Vrouwen";"Leerjaar 5";"Totaal";"Woonregio";"Nederland";"2016/'17";54358;;23233;29294;;;;;1831
"Vrouwen";"Leerjaar 6";"Totaal";"Woonregio";"Nederland";"2016/'17";21443;;20728;;;;;;715
