"Geslacht";"Leerjaren";"Migratieachtergrond";"Woonregio/schoolregio";"Regiokenmerken";"Perioden";"Totalen leerlingen naar onderwijssoort/Totaal leerlingen (aantal)";"Totalen leerlingen naar onderwijssoort/Algemene leerjaren 1-2-3 (aantal)";"Totalen leerlingen naar onderwijssoort/Vwo leerjaar 3-6 (aantal)";"Totalen leerlingen naar onderwijssoort/Havo leerjaar 3-5 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-t leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-g leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-k leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Vmbo-b leerjaar 3-4 (aantal)";"Totalen leerlingen naar onderwijssoort/Praktijkonderwijs (aantal)"
"Totaal mannen en vrouwen";"Totaal leerjaren";"Totaal";"Woonregio";"Nederland";"2017/'18";985252;399480;173706;167118;85908;29263;60408;39816;29553
"Totaal mannen en vrouwen";"Leerjaar 1";"Totaal";"Woonregio";"Nederland";"2017/'18";202019;196105;;;;;;;5914
"Totaal mannen en vrouwen";"Leerjaar 2";"Totaal";"Woonregio";"Nederland";"2017/'18";204126;198153;;;;;;;5973
"Totaal mannen en vrouwen";"Leerjaar 3";"Totaal";"Woonregio";"Nederland";"2017/'18";209634;5222;45255;46255;40062;16925;30225;19969;5721
"Totaal mannen en vrouwen";"Leerjaar 4";"Totaal";"Woonregio";"Nederland";"2017/'18";221203;;43907;63564;45846;12338;30183;19847;5518
"Totaal mannen en vrouwen";"Leerjaar 5";"Totaal";"Woonregio";"Nederland";"2017/'18";106475;;44643;57299;;;;;4533
"Totaal mannen en vrouwen";"Leerjaar 6";"Totaal";"Woonregio";"Nederland";"2017/'18";41795;;39901;;;;;;1894
